sim_id,ok,error,runtime_s,k_mult,phi_mult,p_init_shift_bar,fpr_min_psi,fpr_max_psi,fpr_range_psi
1,True,,274.01478424994275,0.8961206924834632,0.9843715191887232,12.615422362981668,3553.0979274030637,4209.305610463104,656.2076830600404
2,True,,267.2987430419307,1.0645283731915336,1.0923393948586533,-10.179994053585185,3412.351612098312,4013.1076339782103,600.7560218798981
3,True,,269.6659846669063,0.8820701645864688,1.0547109620614312,-4.88805032898577,3442.5639714745453,4018.8749732303463,576.311001755801
4,True,,272.19466429110616,1.4081875240624342,1.073039500980626,-4.297124554084993,3454.8561941944763,4130.58209360152,675.7258994070435
5,True,,266.5058050840162,1.0920070693867265,0.929706980243949,-6.00626115724028,3405.21591296145,4124.753230162427,719.5373172009768
6,True,,260.4303831248544,1.4308369829717353,1.1309004786077563,-7.577064670948179,3441.9155331012234,4072.5284904571654,630.612957355942
7,True,,263.39355479110964,1.1214603828665815,0.9163166439912206,6.463665195912789,3492.7019789538513,4266.7683158406435,774.0663368867922
8,True,,263.60466645890847,0.8393930325809273,1.141612717790336,7.73024066646418,3552.3155964646025,4095.4256682662412,543.1100718016387
9,True,,274.12489766604267,1.4472723219502364,1.1029359375776668,-9.705021213211406,3420.5383125440153,4060.2577348096615,639.7194222656462
10,True,,271.33974954206496,0.9340902265886336,0.9931236664138203,11.185503771035147,3545.2717409881257,4211.644857427612,666.3731164394862
11,True,,269.5333535419777,1.2218330985587438,1.0038747837903017,-6.533590649131127,3421.2263654118165,4114.819508379181,693.5931429673642
12,True,,271.617009291891,1.3249791303795297,1.0663471832000058,3.1798965696449137,3507.718306771808,4206.695037407916,698.9767306361082
13,True,,263.34781499998644,0.7920102916772152,0.9646955581127581,-11.973744518061942,3367.938673656363,3923.5412537505795,555.6025800942166
14,True,,268.3729655840434,0.745263147441583,0.9747570492622593,-13.000662312294802,3362.6878720026334,3881.4618082124875,518.7739362098541
15,True,,280.7222953750752,1.362757415287151,0.8778606430527696,3.78262464760407,3465.0754059100036,4314.002071861554,848.9266659515506
16,True,,269.44698541704565,1.0234645734756125,1.0378072903102196,13.33129382991169,3572.8558225071683,4255.472209543347,682.6163870361788
17,True,,266.67838608287275,0.7206388279614924,0.9596750973243421,0.2650696368798702,3455.899670962466,3979.482674016101,523.5830030536349
18,True,,267.15031137503684,0.823836403202151,0.9415428949206754,9.801855249205595,3520.4268136488095,4146.119385218383,625.6925715695738
19,True,,271.40385341690853,1.4856500594733704,1.0821458467281952,1.1031156074754502,3497.568143784088,4186.045484212988,688.4773404289003
20,True,,272.2551521670539,1.280399969531094,1.0278692437750214,-2.5493946717725535,3456.947131310907,4158.246289349621,701.2991580387143
21,True,,275.7623982920777,1.3741702371205866,0.8982276161327083,6.024923995671582,3487.3549074392363,4326.611874467395,839.2569670281587
22,True,,267.42242020810954,1.144866546772666,1.0113975248360931,2.44988622082694,3488.2069510355805,4188.2098962577265,700.0029452221461
23,True,,281.5471970420331,1.1988044100967024,0.8609417734788765,-9.134664002554894,3363.451391588968,4156.493071331378,793.04167974241
24,True,,263.3038408339489,0.9411681004209927,1.1178389820910641,8.32759965385948,3552.6522090126646,4152.9259963480345,600.2737873353699
25,True,,266.62344574998133,0.773630392053076,0.8837079802423258,-11.83355420036028,3346.4530111868926,3932.0886895370727,585.6356783501801
26,True,,268.3626244580373,1.2511574123144125,0.8543887843975205,-0.1542091559173464,3428.183246048459,4267.998356959729,839.81511091127
27,True,,264.62895908392966,0.9865269908242085,1.0413979699812765,-1.0731578450908277,3468.4656541833524,4099.697836989312,631.2321828059598
28,True,,269.6152010830119,1.3015788576198777,0.9319463870785196,10.723392248074312,3530.2790933428464,4345.731290149304,815.4521968064578
29,True,,211.79834500001743,1.0032122588275965,1.1281402038466601,5.11630706055837,3531.779796622537,4138.073880568646,606.2940839461089
30,True,,224.80128900008276,1.1535296605266936,0.9055458478701583,-3.5031459972151797,3417.59090563074,4179.402199881805,761.8112942510652
