sim_id,ok,error,runtime_s,k_mult,phi_mult,p_init_shift_bar,qwinj_group_mult,fpr_min_psi,fpr_max_psi,fpr_range_psi
1,True,,1517.8645237910096,1.4303937204268378,1.0804914685972735,-0.47539322764445835,0.6557894423247491,4115.145276736017,5180.624244794006,1065.4789680579888
2,True,,1397.8943290410098,0.9915092096064532,0.9646828483981249,2.6771851512811438,0.7428851444221563,4076.55943125296,5235.058986409161,1158.4995551562006
3,True,,1452.8855862501077,0.761916483884477,0.9719145176831252,-7.25133904916654,1.2551577087267427,3973.878218942383,4992.0964311564085,1018.2182122140257
4,True,,1470.144818124827,0.8702490906140437,0.923511578136867,-11.421986936884407,1.0714496897057757,3915.540011105847,4955.140312697632,1039.600301591785
5,True,,1432.53105650004,1.3660660286510522,1.101113791181046,4.045216528279163,0.8341411991078882,4182.200443838214,5248.333604330175,1066.1331604919615
6,True,,1318.0781388750765,1.2422706797659009,1.134271147786778,9.56903492749868,0.8581790977427821,4272.864079169915,5320.607261822449,1047.7431826525335
7,True,,1559.8800522079691,1.1606470192068299,0.9092686705491027,11.65781598468234,0.9705331519297651,4153.148191613159,5463.943568350061,1310.7953767369017
8,True,,1661.2054382921197,1.2723431593654038,0.8631663531925615,-8.932776701910605,1.3735851195746007,3909.0104801275265,5102.4092983699275,1193.398818242401
9,True,,1314.8622500000056,1.0643667829612669,1.035839161235559,-4.293063639634219,1.2374007785947367,4039.818868758557,5083.245620683014,1043.4267519244568
10,True,,1321.5527723329142,0.7875341878310119,1.010635779043896,7.570054025993759,1.0835043012629784,4155.748584407196,5254.453269142151,1098.7046847349548
